Text,Score
القاعدة الأساسية في اللعبة هي ألّا يلمس اللاعبون ما عداحارس المرمىالكرة بيدهم أو ذراعهم أثناء اللعب، إلا إذا كانوا يُنَفَّذُون رمية تماس. مع أن اللاعبين يستخدمون عادةً أقدامهم لتحريك الكرة، فإنه بإمكانهم استخدام أي جزء آخر من جسدهم (لا سيما الرأس للضربة الرأسية)ما عدا يدهم أو ذراعهم.أثناء اللعب، يمكن للاعبين أن يركلوا الكرة في أي اتجاه ويتحركوا بحرية داخل الملعب ما دام أن الكرة لا تُلعب للاعب يقف فيحالة تسلل.,10.0
في المباراة التقليدية، يحاول اللاعبون أن يجدوا فرص مناسبة لإحراز هدف عبر التحكم الفردي بالكرة، مثل المحاورة والمناورة والمراوغة بالكرة، أو بتمرير الكرة إلى الزملاء في الفريق والتسديد باتجاه المرمى، والذي يحرسه الحارس لمنع دخول الكرة إليه. يحاول اللاعبون من الفريق المنافس التحكم بالكرة عبر الحصول عليها عبر قطعها من الخصم، باعتبار أن الاحتكاك الجسدي بين الخصوم محدود. كرة القدم لعبة سلسة لا تتوقف إلا إذا خرجت الكرة خارج الملعب أو أوقفالحكماللعب بسبب انتهاك أحد القوانين. ويستمر اللعب بإعادة خاصة.,10.0
في المستويات المحترفة من اللعبة، تُحرز أهداف قليلة في المباريات. مثلًا في موسم2005-06منالدوري الإنجليزي الممتازكان معدل التسجيل في المباراة الواحدة هي 2.48 أهداف في المباراة الواحدة.لم تخصص قوانين اللعبة مواضع للاعبين إلا للحارس،وفي ظل تطور قواعد لعبة كرة القدم أصبح الفريق يُقسم هذه المواضع إلى 3 تصنيفات أساسية:المهاجمونالذين تتمثل مهمتهم الأساسية في تسجيل الأهداف،والمدافعونالمتخصصون في إعاقة تقدم الخصوم لإحراز هدف،ولاعبو الوسطالذين يحافظون على الكرة ويمررونها إلى زملائهم المهاجمين. هذه المواضع تُقسم إلى أصناف فرعية حسب موضعهم في الملعب الذي يقضون أكبر وقت من اللعب فيه. مثل قلب الدفاع ولاعبي الوسط على اليمين واليسار. يمكن للاعبين أن يتحركوا من مواضعهم قليلًا ويمكن تبديل مواقعهم في أي وقت.تُسمى خطة وضع اللاعبين تشكيلة أو تقسيمة. وعادةً المدرب هو من يقوم بوضع التشكيلة والتكتيكات.,10.0
يقرأ هذا القَسَم في يوم الافتتاح من قبل أشهر رياضيين البلد المضيف للأولمبياد، وقد وضعهبيير دي كوبرتانمؤسس الألعاب الأولمبية الحديثة. ونص القسم:,10.0
اعتمدت اللجنة الأولمبية الدوليةنشيدهافي جلستها رقم (55)في مدينةطوكيوعام1958م، وأودعت اللجنة موسيقى هذا النشيد في المقر الرئيسي للجنة الأولمبية الدولية. وكان أول نشيد ألقي في الدورة الأولمبية الأولى «دورةأثيناعام 1896م»، اقتبس عن أنشودة رياضيةإغريقيةقديمة، ودشنت به الألعاب الأولمبية الأولى في العصر الحديث. وكتبه الشاعر «كوستيس بالاماس»: «يا عبقري القدم الأزلي، والد الصحيح والجميل والخير، إنزل إلى هذه الأرض وتحت هذه السماء، الشاهدتين على مجدك، أنرنا بشعاعك». وكان البارون الفرنسي «كوبرتان» يفكر في أن يرافق المسابقات الرياضية، إلقاء مقاطع شعرية في رؤية توحيدية لطاقات الإنسان.,10.0
مكتوبباللغة اللاتينيةعند مدخل الملاعب التي تجري فيها المباريات وهو CTTUS ALTIUS FORTIUS أي (أسرع، أعلى، أقوى).وتشير إلى روح المنافسة التي تلهب المتبارين المشاركين في الألعاب الأولمبية.,10.0
هودستورعمل الحركة الأولمبية، وتنظيم الدورات الأولمبية، وهو الجامع للأحكام والقوانين، التي تقرها اللجنة الأولمبية الدولية . وفي حالة وجود نزاع، أو خلاف حول تفسير أو تطبيق هذه القرارات، يتم الفصل فيها عن طريق المكتب التنفيذي للجنة الأولمبية الدولية. وفي بعض الحالات عن طريق التحكيم أمامهيئة التحكيم الرياضي CAS. التي أٌنشئت عام1993م، وتتشكل المحكمة من عشرينقاضياً، وتعدّ هيئة عليا مستقلة عن اللجنة الأولمبية الدولية.,10.0
يوجد في الألعاب الأولمبية العديد من المراسم تؤكد معظمها على الصداقة العالمية والتعاون السلمي. فيحفل الافتتاحيتم استعراض الدول المشاركة حيث تدخل الفرق من كل دولة الإستاد الرئيسي كجزء منالموكب. يدخل دائما الفريق اليوناني أولاً لإحياء الأصل التاريخي للألعاب الحديثة وفريق الدولة المضيفة يكون دائما آخر الفرق الداخلة. تطور حفل الافتتاح عبر السنوات ليحتوي على أعمال فنية وموسيقى وخطابات ومهرجان. يعبر تبادلالشعلة الأولمبيةعن انتقال المبادئ الأولمبية من اليونان القديمة إلى العالم الحديث. وتقدم الشعلة الأولمبية في حفل الافتتاح منذ سنة 1936 في الألعاب الأولمبية فيبرلين. خلال التبادل يتم إشعال المشعل فيأولمبيا،اليونانوتحمل خلال عدد من الأسابيع أو الشهور إلى المدينة المستضيفة عبر سلسلة من العدائين. وبعد أن يشعل آخر العدائين الشعلة الأولمبية في الإستاد الرئيسي يقوم رئيس البلد المضيف بإعلان بدء الألعاب الأولمبية ويطلق سرب من الحمامات لتمثيل الأمل فيالسلام العالمي. وهناك عنصران هامان ظهرا خلال ألعابأنتويرب،بلجيكاسنة 1920 وهما,10.0
يؤكد القسم على التزام الرياضيين بمبادئالروح الرياضيةفي المنافسة. تعدّ الميداليات من العناصر الهامة في الألعاب حيث توزع الميداليات لأصحاب المراكز الثلاثة الأولى عقب انتهاء المنافسات في كل لعبة حيث تقام مراسم التتويج فيصعد أصحاب هذه المراكز على المنصة ليتقلدوا الميدالياتالذهبيةوالفضيةوالبرونزيةوترفعالأعلام الوطنيةللمتسابقين الثلاثة بينما يعزفالنشيد الوطنيللمتسابق الفائز.,10.0
ضمت هذه الألعاب مسابقات فيركوب الدراجاتوالمبارزة بالسيفوالجمبازوالرمي بالبندقيةوالسباحةوالتنسوألعاب القوىورفع الأثقالوالمصارعةوسيطر الرياضيون الأمريكيون على المسابقات بينما نجح عداء يوناني بالفوز في سباقالماراثون.,10.0
غالبًا ما انتقدت اللجنة الأولمبية الدولية بأنها منظمة ذات سلطة استنسابية ومتسلطة، وكذلك عدم وجود مدة زمنية للبقاء في مركز داخل اللجنة. حيث كانت الفترات الرئاسية لكل منأفيري بروندجوخوان أنطونيو سامارانشمثيرة للجدل. حيث حارب بروندج بقوة من أجل المحافظة على طابع مشاركة الهواة وكان ضد تسويق الألعاب الأولمبية، حتى عندما أصبحت هذه المواقف تُنظر إليها على أنها تتعارض مع حقائق الرياضة الحديثة.كذلك اتهم بروندج بالعنصرية بسبب رفضه استبعاد جنوب إفريقبا التي كان يحكمها نظام الفصل العنصري آن ذاك أو اتهامهبمعاداة السامية.أما فترة رئاسة سامارانش، اتُهمت اللجنة بكل منالمحسوبيةوالفساد.وكانت علاقات سامارانش معنظام فرانكوفي إسبانيا أيضًا مصدرًا للنقد.,10.0
ومن الانتقادات تلك التي وجهت إلى اللجنة في عام 1998، حيث أفيد أن العديد من أعضاء اللجنة الأولمبية الدولية قد حصلوا على هدايا من أعضاء لجنة عرضسولت ليكلاستضافةدورة الألعاب الأولمبية الشتوية 2002. وكان قد أجري أربعة تحقيقات مستقلة بخصوص القضية: من قبل اللجنة الأولمبية الدولية،واللجنة الأولمبية الأمريكية(USOC)، واللجنة المنظمة لألعاب سولت ليك (SLOC)،ووزارة العدل الأمريكية. حيث أنه كان هناك شعور بأن قبول الهدايا كان مثار شك من الناحية الأخلاقية. ونتيجة لذلك، تم طرد عشرة أعضاء من اللجنة الأولمبية الدولية وفرضت عقوبات على عشرة آخرين.وقد تم اعتماد قواعد أكثر صرامة للعطاءات وعروض الاستضافة المستقبلية، وتم وضع حد أقصى لعدد المدن التي يمكن قبول عروضها للإستضافة من قبل أعضاء اللجنة الدولية. بالإضافة إلى ذلك، حددت أعمار قصوى لمن يشغل عضوية اللجنة ومدة زمنية لتولي هذه العضوية، وأضيف خمسة عشر رياضياَ أولمبياَ سابقاَ إلى اللجنة.,10.0
أفيد في عام 1999، أن اللجنة المسؤولة عن تقديم عرضناغانولإستضافةألعاب 1998 الشتويةقد أنفقت حوالي 14 مليون دولار على برامج ترفيه أعضاء اللجنة الأولمبية الدولية وعددهم 62 والعديد من الأفراد التي لها ارتباطات بالأعضاء. الأرقام الدقيقة غير معروفة بسبب قيام اللجنة المنظمة لألعاب ناغانو بتلف السجلات المالية، بعد أن طلبت اللجنة الأولمبية الدولية عدم الإعلان عن نفقات الترفيه.,10.0
وكذلك خيم الجدل على عرضتورينولإستضافةالألعاب الأولمبية الشتوية لعام 2006. حيث أن عضو اللجنة الأولمبية الدولية مارك هودلر، كان مرتبط بشكل وثيق بعرضسيونالمنافس لعرض تورينو، زعم بتقديم رشوة لمسؤولي اللجنة الأولمبية الدولية من قبل أعضاء اللجنة المنظمة في تورينو. أدت هذه الاتهامات إلى تحقيق واسع النطاق، وأيضا أدت إلى سخط العديد من أعضاء اللجنة الأولمبية الدولية من الإتهامات، مما يكون قد ساهم بخسارة عرض سيون لمصلحة العرض المقدم من تورينو و نيلها شرف إستضافة الألعاب.وفي عام 2020 وثق مجموعة من الباحثين في جامعة أكسفورد التكاليف المرتفعة وتجاوزات التكاليف للألعاب بنسب عالية وانتقدتو اللجنة الأولمبية الدولية لعدم تحملها مسؤولية كافية للسيطرة على التكاليف المتزايدة.بدورها انتقدت اللجنة الأولمبية الدولية الدراسة، مما أدى بالباحثين بالرد على الأنتقاد نقطة بنقطة، في رسالة مفتوحة إلى رئيس اللجنة الأولمبية الدوليةتوماس باخ.,10.0
وهو علمأبيضمتموج دلالة على خفقانه في الهواء بالأعالي وفيه خمس دوائر مترابطة تمثل قارات العالم الخمس (أوروباوأسياوأفريقياوأوقيانوسياوأمريكا) في إطار أهداف الألعاب الأولمبية النبيلة التي تدعوا لتوحد العالم وتناسي الضغائن والأحقاد، وهذا العلم كان قد اختير من فكرة الفرنسيبيير دي كوبرتان.في عام1913وهو مؤسس الألعاب الأولمبية الحديثة وبقي على حاله إلى يومنا هذا،,10.0
وفقَا للميثاق الأولمبي تسمح اللجنة الأولمبية الدولية بتشكيلاللجان الأولمبية الوطنية(NOCs) التي تقوم بتمثيل الدول في الحركة الأولمبية. في السابق سمحللمستعمراتوالتبعياتبتشكيل لجان وطنية أولمبية تمثلها في الألعاب الأولمبية، ومن الأمثلة على ذلك أقاليم مثلبورتوريكووبرموداوهونغ كونغ، حيث أنها تنافس بوفود مستقلة على الرغم من كونها جزءًا سيادياَ من دولة أخرى.أما النسخة الحالية من الميثاق الأولمبي فهي لا تسمح بإنشاء لجان وطنية إلا لتمثيل دول مؤهلة لأن تكون مستقلة ومعترف فيها من المجتمع الدولي.وبالتالي، لم تسمح اللجنة الأولمبية الدولية بتشكيل اللجان الأولمبية الوطنيةلسانت مارتنوكوراساوعندما اكتسبوا نفس الوضع الدستوري مثلأروبافي عام 2010، على الرغم من أن اللجنة الأولمبية الدولية قد اعترفت باللجنة الأولمبية في أروبا في عام 1986.منذ عام 2012، كان لدى الرياضيين منجزر الأنتيل الهولنديةالسابقة خيار تمثيلهولنداأوأروبا.,10.0
فيألعاب مونتريال 1976وألعاب موسكو 1980، تكبد البلد المضيف نفقات تجاوزت بشكل كبير الإيرادات، في محاولة منهم لتقديم أفضل النسخ الأولمبية، إلا أن دورة 1984 في لوس أنجلوس خضعت لرقابة صارمة على صعيد النفقات، ومما ساعد على الحد من النفقات هي مساهمة الشركات الراعية في دفع بعض النفقات، مما جعل تلك الدورة من انجح الدورات على صعيد الإيرادات المالية. استخدمت اللجنة الأولمبية المنظمة (OCOG) بقيادة بيتر أوبيروث بعض الأرباح كمنح لمؤسسة LA84 وذلك للترويج للرياضة في جنوب كاليفورنيا، ولتثقيف المدربين وإنشاء مكتبة رياضية.,10.0
تضم الحركة الأولمبية عددًا كبيرًا من المنظمات والاتحادات الرياضية الوطنية والدولية، والشركاء الإعلاميين المعترف بهم، وكذلك الرياضيين والمسؤولين والقضاة وكل شخص آخر ومؤسسة توافق على الالتزام بقواعد الميثاق الأولمبي. بصفتها المنظمة الجامعة للحركة الأولمبية، فإناللجنة الأولمبية الدولية(IOC) مسؤولة عن اختيار المدينة المضيفة، والإشراف على تخطيط الألعاب الأولمبية، وتحديث واعتماد برنامج الألعاب الأولمبية، والتفاوض بشأن حقوق الرعاية والبث.,10.0
تم استضافة الألعاب الأولمبية الأولى التي أقيمت تحت رعاية اللجنة الأولمبية الدولية في ملعب باناثينايكو فيأثيناعام 1896. جمعت الألعاب 14 دولة و 241 رياضيًا شاركوا في 43 حدثًا.كان زابا وابن عمه كونستانتينوس زابا قد تبرعو بوديعة للحكومة اليونانية لتمويل الألعاب الأولمبية المستقبلية. تم استخدام هذه الوديعة للمساعدة في تمويل ألعاب 1896.كذلك ساهم رجل الأعمال جورج أفيروف في تجديد الملعب استعدادًا للألعاب.وأيضا قدمت الحكومة اليونانية تمويلاً، والذي كان من المتوقع استرداده من خلال بيع التذاكر ومن بيع أول مجموعة طوابع تذكارية أولمبية.,10.0
كان المسؤولون اليونانيون والجمهور متحمسين لتجربة استضافة الألعاب الأولمبية الأولى. شارك في هذا الشعور العديد من الرياضيين، حتى أنهم طالبوا بأن تكون أثينا المدينة المضيفة للأولمبياد بشكل دائم. تعتزم اللجنة الأولمبية الدولية نقل الألعاب اللاحقة إلى مدن مضيفة مختلفة حول العالم. أقيمت الدورةالأولمبية الثانيةفي باريس.,10.0
تم إنشاء الألعاب الأولمبية الشتوية لتتضمن الرياضات الثلجية والجليدية التي كان من المستحيل من الناحية اللوجستية عقدها خلال الألعاب الصيفية. قبل الألعاب الشتوية كانت رياضة التزلج على الجليد من ضمن برنامج دورات1908و1920الصيفية، وكذلك هوكي الجليد في دورة 1920. أرادت اللجنة الأولمبية الدولية توسيع قائمة الرياضات هذه لتشمل الأنشطة الرياضية الشتوية الأخرى. وفي المؤتمر الأولمبي لعام 1921 فيلوزان، تقرر عقد نسخة شتوية من الألعاب الأولمبية. وفي عام1924عُقدت أول ألعاب أولمبية شتوية في مدينةشاموني، فرنسا، والتي استمرت لمدة 11 يوم.على الرغم من أنه كان من المقرر أن تستضيف نفس الدولة كلاً من الألعاب الشتوية والصيفية في عام معين، تم التخلي عن هذه الفكرة بسرعة. واكتفت اللجنة الأولمبية الدولية بأن يتم الاحتفال بالألعاب الشتوية كل أربع سنوات في نفس العام الذي تقام به نظيرتها الصيفية.تم الحفاظ على هذا التقليد حتىألعاب 1992فيألبرتفيل، فرنسا. بعد ذلك وبدءًا مندورةالألعاب الأولمبية لعام1994، تقام الألعاب الأولمبية الشتوية كل أربع سنوات، وذلك بعد عامين من كل دورة ألعاب أولمبية صيفية.,10.0
الألعاب البرالمبيةهي حدث رياضي خاص بالرياضيين من ذوي الإحتياجات الخاصة. في عام 1948 وبالتزامن مع انعقادأولمبياد لندن 1948، نظّم الطبيب البريطاني لودفيج جوتمان مجموعة من الأنشطة الرياضية بين عدة مستشفيات، شارك بهذا الحدث جرحىالحرب العالمية الثانيةمن الجنود في سبيل تعزيز إعادة تأهيلهم صحياً ونفسياً واستخدام الرياضة كوسيلة للشفاء.أصبح هذا الحدث الرياضي يُعرف باسم ألعاب ستوك ماندفيل، وكان يقام سنوياً على مدى الإثنا عشر سنة التالية.,10.0
في عام 1960 حضر 400 رياضي إلى روما للتنافس في «الألعاب الأولمبية الموازية»، التي أقيمت بالتوازي معالألعاب الأولمبية الصيفية، والتي أصبحت تُعرف باسم أولألعاب بارالمبية. منذ ذلك الحين تقام الألعاب البرالمبية في كل عام أولمبي، وبدءًا مندورة الألعاب الأولمبية الصيفية 1988فيسول، أصبحت المدينة المضيفة للألعاب الأولمبية تستضيف أيضا الألعاب البارالمبية.[ا]وقعتاللجنة الأولمبية الدولية(IOC)واللجنة البارالمبية الدولية(IPC) اتفاقية في عام 2001 تضمن بأن المدن المضيفة سيتم التعاقد معها على إدارة كل من الألعاب الأولمبية والألعاب البارالمبية.دخلت الإتفاقية حيز التنفيذ فيدورة الألعاب الصيفية لعام 2008في بكين، وفيدورة الألعاب الشتوية لعام 2010فيفانكوفر.,10.0
في عام 2001 وضع رئيس اللجنة الأولمبية الدولية آن ذاكجاك روجمخطط لإنشاء دورة ألعاب خاصة بالرياضيين الذين تتراوح أعمارهم بين 14 و 18 سنة، وتمت الموافقة على الإقتراح خلال اجتماع الدورة 119 للجنة الأولمبية الدولية عام 2007.أقيمتالألعاب الأولمبية الصيفية الأولى للشبابفي سنغافورة في الفترة من 14 إلى 26 أغسطس 2010، في حين أقيمتالألعاب الأولمبية الشتوية الأولى للشبابفيإنسبروكالنمساوية في الفترة من 13 إلى 22 يناير 2012.هذه الألعاب أقصر من الألعاب الأولمبية الأساسية حيث تستمر النسخة الصيفية اثني عشر يومًا، بينما تستمر النسخة الشتوية تسعة أيام. تسمح اللجنة الأولمبية الدولية لـ 3500 رياضي و 875 مسؤولًا بالمشاركة في الألعاب الأولمبية الصيفية للشباب، و 970 رياضيًا و 580 مسؤولًا في الألعاب الأولمبية الشتوية للشباب. تتزامن هذه الدورات مع الدورات الأولمبية للكبار بشكل عكسي لناحية الفصول، حيث تزامن الألعاب الصيفية للشباب بنفس سنة الألعاب الشتوية للكبار والألعاب الشتوية للشباب بنفس سنة الألعاب الصيفية للكبار.,10.0
"أقيمنهائي كأس العالم 1974علىالملعب الأولمبيبمدينةميونخعاصمةألمانيا الغربية، أمام ما يقارب 75,200 ألف متفرج.بين فريقين يتميزان بطريقة لعب فريدة عرفت باسمالكرة الشاملة.واستطاعمنتخب ألمانيا الغربيةالتغلب على منافسهالمنتخب الهولنديبنتيجة 2-1. وانتهى اللقاء بفوزمنتخب ألمانيا الغربيةبلقب كأس العالم للمرة الثانية في تاريخهم بعدكأس العالم 1954.",10.0
أقيمت بطولةكأس العالم 1978فيالأرجنتين، لم يلق اختيارالأرجنتينلاستضافة كأس العالم قبولاً، فكان هناك اعتراضات عديدة بسبب حدوثانقلاب عسكريفي البلاد.في هذه البطولة، ظهر أول رعاية لكأس العالم. حيث كانت برعايةكوكا كولا. أيضاً، أقرالاتحاد الدولي لكرة القدملأول مرة نظامركلات الترجيحفي حال انتهاء الوقت الأصلي والإضافي بتعادل الفريقين،لم تنتهى مشاكل التحكيم في تلك البطولة، ففي مباراةمنتخب البرازيلمعمنتخب السويدحين كانت النتيجة تشير للتعادل بهدف لمثله، تحصلالمنتخب البرازيليلركلة حرة في آخر التوقيت، نفذهازيكولتدخل شباك الحارس السويديروني هيلستروم، إلا أن الحكم الويلزيكلايف توماسأطلق صافرته بينما كانت الكرة في الهواء قبل دخولها للمرمى، رافضًا احتساب الهدف مؤكدًا أن القانون هو القانون.,10.0
"أقيم نهائي كأس العالم 1978 علىملعب أنتونيو فيسبوكيو ليبرتيبمدينةبوينس آيرسو أمام 71,712 متفرج،بين صاحب الأرض والجمهورالأرجنتينو وصيفالنسخة الماضيةمنتخب هولندا،و استطاعالأرجنتينالفوز بنتيجة 3-1 بالأوقات الإضافية، بعد انتهاء الوقت الأصلي بالتعادل 1-1، بفضل هدفيماريو كيمبس.و تفوز الأرجنتين بلقب كأس العالم للمرة الأولى في تاريخها.",10.0
أقيمت بطولةكأس العالم 1982في الفترة من13 يونيووحتى11 يوليو، فتم اختيارإسبانيالاحتضان البطولة بعد انسحابألمانياالتي استضافت منافسات بطولةكأس العالم 1974.شهدت البطولة مشاركة أول فريقعربيآسيويوهومنتخب الكويتوشهد مشاركةمنتخب الجزائرلأول مرة في تاريخها،وعادتإنجلترالبطولات العالم بعد غياب دام 12 عاماً وتحديداً من البطولة التي حققوها فيكأس العالم 1966.,10.0
